rank,title,year,votes,kind,rating,revisions
1,The Shawshank Redemption,1994,2048674,movie,9.2,6559
2,The Godfather,1972,1405104,movie,9.2,9562
3,The Godfather: Part II,1974,974263,movie,9.0,3833
4,The Dark Knight,2008,2015822,movie,9.0,13984
5,12 Angry Men,1957,577125,movie,8.9,307
6,Schindler's List,1993,1060520,movie,8.9,4372
7,The Lord of the Rings: The Return of the King,2003,1458837,movie,8.9,4861
8,Pulp Fiction,1994,1600860,movie,8.9,7501
9,"The Good, the Bad and the Ugly",1966,608011,movie,8.8,3761
10,Fight Club,1999,1639711,movie,8.8,5602
11,The Lord of the Rings: The Fellowship of the Ring,2001,1475475,movie,8.8,3466
12,Forrest Gump,1994,1566940,movie,8.7,7369
13,Star Wars: Episode V - The Empire Strikes Back,1980,1028576,movie,8.7,6270
14,Inception,2010,1795188,movie,8.7,6644
15,The Lord of the Rings: The Two Towers,2002,1319082,movie,8.7,2597
16,One Flew Over the Cuckoo's Nest,1975,813399,movie,8.7,2468
17,Goodfellas,1990,883926,movie,8.7,4260
18,The Matrix,1999,1471001,movie,8.6,9439
19,Seven Samurai,1954,277070,movie,8.6,1988
20,Se7en,1995,1254982,movie,8.6,3017
21,City of God,2002,631740,movie,8.6,1069
22,Star Wars: Episode IV - A New Hope,1977,1098438,movie,8.6,9896
23,The Silence of the Lambs,1991,1103182,movie,8.6,3618
24,It's a Wonderful Life,1946,348882,movie,8.6,4442
25,Life Is Beautiful,1997,537842,movie,8.6,1256
26,Spider-Man: Into the Spider-Verse,2018,90868,movie,8.6,3180
27,Spirited Away,2001,541330,movie,8.5,4548
28,The Usual Suspects,1995,888308,movie,8.5,2187
29,Saving Private Ryan,1998,1082330,movie,8.5,6433
30,Léon: The Professional,1994,901385,movie,8.5,1870
31,The Green Mile,1999,986123,movie,8.5,2683
32,Interstellar,2014,1256140,movie,8.5,6046
33,Psycho,1960,524041,movie,8.5,4903
34,American History X,1998,932684,movie,8.5,2884
35,City Lights,1931,142391,movie,8.5,777
36,Once Upon a Time in the West,1968,265394,movie,8.5,1701
37,Casablanca,1942,466444,movie,8.5,4494
38,Modern Times,1936,184896,movie,8.5,709
39,The Pianist,2002,624969,movie,8.5,1406
40,The Intouchables,2011,656687,movie,8.5,890
41,The Departed,2006,1052624,movie,8.5,6555
42,Back to the Future,1985,911001,movie,8.5,6950
43,Terminator 2: Judgment Day,1991,887948,movie,8.5,5673
44,Whiplash,2014,594606,movie,8.5,1393
45,Rear Window,1954,389567,movie,8.5,1703
46,Raiders of the Lost Ark,1981,794065,movie,8.5,4226
47,The Lion King,1994,812270,movie,8.5,6644
48,Gladiator,2000,1184928,movie,8.5,4288
49,The Prestige,2006,1041523,movie,8.5,3300
50,Apocalypse Now,1979,536734,movie,8.4,4349
51,Memento,2000,1012439,movie,8.4,3150
52,Alien,1979,697443,movie,8.4,5599
53,Cinema Paradiso,1988,195801,movie,8.4,486
54,Grave of the Fireflies,1988,189571,movie,8.4,1443
55,The Great Dictator,1940,175735,movie,8.4,1589
56,Sunset Boulevard,1950,174726,movie,8.4,1647
57,The Lives of Others,2006,315841,movie,8.4,1242
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,407328,movie,8.4,4548
59,Avengers: Infinity War,2018,579187,movie,8.4,5635
60,Paths of Glory,1957,152210,movie,8.4,932
61,The Shining,1980,761208,movie,8.4,6856
62,Django Unchained,2012,1181652,movie,8.4,3405
63,WALL·E,2008,885110,movie,8.4,10468
64,Princess Mononoke,1997,286490,movie,8.4,2962
65,Witness for the Prosecution,1957,88721,movie,8.4,524
66,Oldboy,2003,447601,movie,8.3,1865
67,The Dark Knight Rises,2012,1359077,movie,8.3,5644
68,American Beauty,1999,973203,movie,8.3,3888
69,Aliens,1986,588840,movie,8.3,5149
70,Once Upon a Time in America,1984,270689,movie,8.3,2254
71,Coco,2017,254562,movie,8.3,3671
